COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
California,2015–2016,Total population,All ages,14.8%,(14.0–15.7),,
Alameda,2015–2016,Total population,All ages,14.3%,(10.7–17.9),,
Alpine,2015–2016,Total population,All ages,14.2%,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2015–2016,Total population,All ages,14.2%,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2015–2016,Total population,All ages,14.7%,(7.8–21.6),,
Calaveras,2015–2016,Total population,All ages,14.2%,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2015–2016,Total population,All ages,14.0%,(7.4–20.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2015–2016,Total population,All ages,20.7%,(13.8–27.6),,
Del Norte,2015–2016,Total population,All ages,14.6%,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2015–2016,Total population,All ages,25.2%,(12.5–37.8),,
Fresno,2015–2016,Total population,All ages,16.3%,(10.7–22.0),,
Glenn,2015–2016,Total population,All ages,14.0%,(7.4–20.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2015–2016,Total population,All ages,18.1%,(7.4–28.8),,
Imperial,2015–2016,Total population,All ages,15.1%,(9.6–20.7),,
Inyo,2015–2016,Total population,All ages,14.2%,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2015–2016,Total population,All ages,23.7%,(16.4–31.0),,
Kings,2015–2016,Total population,All ages,26.7%,(16.5–36.8),,
Lake,2015–2016,Total population,All ages,21.4%,(13.0–29.9),,
Lassen,2015–2016,Total population,All ages,14.6%,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2015–2016,Total population,All ages,12.7%,(11.0–14.3),,
Madera,2015–2016,Total population,All ages,17.1%,(9.2–25.1),,
Marin,2015–2016,Total population,All ages,10.8%,(7.8–13.7),,
Mariposa,2015–2016,Total population,All ages,14.2%,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2015–2016,Total population,All ages,16.5%,(8.7–24.4),,
Merced,2015–2016,Total population,All ages,18.4%,(9.5–27.3),,
Modoc,2015–2016,Total population,All ages,14.6%,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2015–2016,Total population,All ages,14.2%,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2015–2016,Total population,All ages,12.4%,(6.6–18.2),,
Napa,2015–2016,Total population,All ages,20.1%,(10.8–29.3),,
Nevada,2015–2016,Total population,All ages,10.7%,(4.6–16.8),,
Orange,2015–2016,Total population,All ages,12.8%,(9.1–16.4),,
Placer,2015–2016,Total population,All ages,14.8%,(7.9–21.6),,
Plumas,2015–2016,Total population,All ages,14.6%,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2015–2016,Total population,All ages,15.5%,(11.0–20.1),,
Sacramento,2015–2016,Total population,All ages,18.8%,(14.0–23.6),,
San Benito,2015–2016,Total population,All ages,13.4%,(5.8–20.9),,
San Bernardino,2015–2016,Total population,All ages,15.9%,(12.7–19.2),,
