,Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
43410,2019,CA,California,Sonoma,6097,6097151308,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,29.4,,,28.4,30.5,"4,796",POINT (-122.6998746 38.35624371),6097151308,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43417,2019,CA,California,Sonoma,6097,6097154100,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.2,,,88.1,88.3,"3,729",POINT (-122.8223856 38.72990158),6097154100,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43418,2019,CA,California,Sonoma,6097,6097150607,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,24.1,,,23.1,25.2,"5,369",POINT (-122.643752 38.27665756),6097150607,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43422,2019,CA,California,Sonoma,6097,6097151000,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.5,,,71.2,73.8,"3,483",POINT (-122.6798779 38.25766057),6097151000,PREVENT,BPMED,CrdPrv,Taking BP Medication
43430,2019,CA,California,Sonoma,6097,6097153403,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,31.4,,,30.7,32.1,"3,840",POINT (-122.7999113 38.38068263),6097153403,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43445,2019,CA,California,Sonoma,6097,6097150607,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,27.5,,,26.8,28.3,"5,369",POINT (-122.643752 38.27665756),6097150607,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43450,2019,CA,California,Sonoma,6097,6097151601,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,85.0,,,83.6,86.2,"2,901",POINT (-122.5618783 38.46272822),6097151601,PREVENT,BPMED,CrdPrv,Taking BP Medication
43452,2019,CA,California,Sonoma,6097,6097152702,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,28.1,,,27.4,28.7,"5,242",POINT (-122.7913312 38.50429832),6097152702,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43457,2019,CA,California,Sonoma,6097,6097153703,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,32.5,,,31.8,33.3,"3,490",POINT (-123.0089218 38.4740332),6097153703,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
43458,2019,CA,California,Sonoma,6097,6097153807,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,29.1,,,28.3,29.9,"3,861",POINT (-122.7365451 38.57909624),6097153807,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43460,2019,CA,California,Sonoma,6097,6097152501,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,85.9,,,85.7,86.0,"4,178",POINT (-122.6568256 38.46562192),6097152501,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43465,2019,CA,California,Sonoma,6097,6097150701,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.5,,,85.9,87.1,"4,609",POINT (-122.6296607 38.23348458),6097150701,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
43470,2019,CA,California,Sonoma,6097,6097152701,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,31.3,,,30.6,32.1,"5,271",POINT (-122.7468694 38.5288949),6097152701,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43475,2019,CA,California,Sonoma,6097,6097152400,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.9,,,32.3,33.6,"10,001",POINT (-122.7072947 38.48579891),6097152400,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
43479,2019,CA,California,Sonoma,6097,6097153104,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,60.8,,,59.5,62.2,"4,046",POINT (-122.7274672 38.42887792),6097153104,PREVENT,BPMED,CrdPrv,Taking BP Medication
